time,open,high,low,close
2025-04-24 12:39:00,1.13787,1.13787,1.13753,1.13753
2025-05-19 06:40:00,1.11827,1.11841,1.11822,1.11822
2025-05-19 06:45:00,1.11822,1.11835,1.11805,1.11815
2025-05-19 06:50:00,1.11816,1.11834,1.1181,1.11817
2025-05-19 06:55:00,1.11817,1.11817,1.11787,1.11812
2025-05-19 07:00:00,1.11812,1.11828,1.11796,1.11799
2025-05-19 07:05:00,1.11799,1.118,1.11774,1.11781
2025-05-19 07:10:00,1.11781,1.11802,1.11773,1.11798
2025-05-19 07:15:00,1.11798,1.11817,1.11786,1.11796
2025-05-19 07:20:00,1.11796,1.11843,1.11796,1.11837
2025-05-19 07:25:00,1.11837,1.11859,1.1183,1.11858
2025-05-19 07:30:00,1.11858,1.1187,1.11854,1.11866
2025-05-19 07:35:00,1.11866,1.11874,1.11817,1.11817
2025-05-19 07:40:00,1.11817,1.11829,1.11811,1.11818
2025-05-19 07:45:00,1.11818,1.1185,1.11809,1.11848
2025-05-19 07:50:00,1.11848,1.11867,1.1184,1.11858
2025-05-19 07:55:00,1.11858,1.1186,1.11814,1.11839
2025-05-19 08:00:00,1.11838,1.1186,1.11838,1.11839
2025-05-19 08:05:00,1.11839,1.11882,1.11839,1.11873
2025-05-19 08:10:00,1.11873,1.11884,1.11838,1.1184
2025-05-19 08:15:00,1.1184,1.11867,1.11833,1.11863
2025-05-19 08:20:00,1.11863,1.11867,1.11843,1.11855
2025-05-19 08:25:00,1.11855,1.11858,1.11842,1.11852
2025-05-19 08:30:00,1.11852,1.11861,1.11833,1.11833
2025-05-19 08:35:00,1.11833,1.11838,1.11807,1.11824
2025-05-19 08:40:00,1.11824,1.11838,1.118,1.11801
2025-05-19 08:45:00,1.11801,1.11804,1.11765,1.11776
2025-05-19 08:50:00,1.11784,1.11859,1.11781,1.11836
2025-05-19 08:55:00,1.11836,1.11863,1.11836,1.1185
2025-05-19 09:00:00,1.1185,1.11873,1.11819,1.11861
2025-05-19 09:05:00,1.11861,1.11938,1.11861,1.11903
2025-05-19 09:10:00,1.11903,1.11963,1.11902,1.11926
2025-05-19 09:15:00,1.11926,1.11999,1.11924,1.11969
2025-05-19 09:20:00,1.11969,1.12034,1.11957,1.12015
2025-05-19 09:25:00,1.12015,1.12034,1.11985,1.12004
2025-05-19 09:30:00,1.12004,1.12124,1.11994,1.12109
2025-05-19 09:35:00,1.12109,1.12111,1.12065,1.12099
2025-05-19 09:40:00,1.12099,1.12119,1.12053,1.12067
2025-05-19 09:45:00,1.12067,1.12077,1.12026,1.12044
2025-05-19 09:50:00,1.12045,1.12084,1.12038,1.12063
2025-05-19 09:55:00,1.12063,1.1211,1.12063,1.12092
2025-05-19 10:00:00,1.12093,1.12117,1.12058,1.12104
2025-05-19 10:05:00,1.12104,1.12183,1.12072,1.12174
2025-05-19 10:10:00,1.12174,1.12182,1.12121,1.12159
2025-05-19 10:15:00,1.12159,1.12186,1.12155,1.12168
2025-05-19 10:20:00,1.12168,1.12221,1.12158,1.12214
2025-05-19 10:25:00,1.12214,1.12292,1.12211,1.12281
2025-05-19 10:30:00,1.12283,1.12405,1.1226,1.12385
2025-05-19 10:35:00,1.12384,1.12415,1.12348,1.12383
2025-05-19 10:40:00,1.12382,1.12417,1.12335,1.12352
2025-05-19 10:45:00,1.12353,1.124,1.12337,1.12395
2025-05-19 10:50:00,1.12395,1.12447,1.12383,1.12427
2025-05-19 10:55:00,1.12427,1.1245,1.12374,1.12383
2025-05-19 11:00:00,1.12383,1.12442,1.1236,1.1242
2025-05-19 11:05:00,1.1242,1.12465,1.12419,1.12452
2025-05-19 11:10:00,1.12452,1.1249,1.12426,1.12481
2025-05-19 11:15:00,1.12483,1.12507,1.12456,1.12479
2025-05-19 11:20:00,1.12479,1.12499,1.1246,1.12482
2025-05-19 11:25:00,1.12482,1.12493,1.12436,1.12489
2025-05-19 11:30:00,1.12488,1.12509,1.1247,1.12473
2025-05-19 11:35:00,1.12473,1.12477,1.12432,1.12432
2025-05-19 11:40:00,1.12431,1.12452,1.12404,1.12419
2025-05-19 11:45:00,1.12413,1.12504,1.12405,1.12496
2025-05-19 11:50:00,1.12496,1.12571,1.12487,1.1255
2025-05-19 11:55:00,1.1255,1.12593,1.12548,1.12574
2025-05-19 12:00:00,1.12574,1.12646,1.1255,1.1263
2025-05-19 12:05:00,1.12631,1.12739,1.12612,1.1267
2025-05-19 12:10:00,1.1267,1.12732,1.12649,1.12679
2025-05-19 12:15:00,1.1268,1.12704,1.12658,1.12681
2025-05-19 12:20:00,1.12681,1.12694,1.12617,1.12623
2025-05-19 12:25:00,1.12624,1.12672,1.12624,1.12651
2025-05-19 12:30:00,1.12654,1.1269,1.12649,1.1269
2025-05-19 12:35:00,1.12694,1.12788,1.12654,1.12783
2025-05-19 12:40:00,1.12783,1.12792,1.12709,1.12763
2025-05-19 12:45:00,1.12731,1.12753,1.12712,1.12753
2025-05-19 12:50:00,1.12718,1.12731,1.12718,1.12731
2025-05-19 12:55:00,1.12728,1.12758,1.12728,1.12756
2025-05-19 13:00:00,1.12799,1.12801,1.12774,1.12776
2025-05-19 13:05:00,1.12818,1.12831,1.12815,1.12817
2025-05-19 13:10:00,1.12775,1.12781,1.12774,1.12776
2025-05-19 13:15:00,1.12775,1.12775,1.12775,1.12775
