time,open,high,low,close,volume,ADX,ADL,ATR_14,RSI,MACD,MACD_signal,MACD_hist,open_audusd,high_audusd,low_audusd,close_audusd,volume_audusd,open_brentusd,high_brentusd,low_brentusd,close_brentusd,volume_brentusd,open_cadusd,high_cadusd,low_cadusd,close_cadusd,volume_cadusd,open_jpyusd,high_jpyusd,low_jpyusd,close_jpyusd,volume_jpyusd,open_plus_5min,high_plus_5min,low_plus_5min,close_plus_5min,open_plus_10min,high_plus_10min,low_plus_10min,close_plus_10min,open_plus_15min,high_plus_15min,low_plus_15min,close_plus_15min,open_plus_20min,high_plus_20min,low_plus_20min,close_plus_20min,open_plus_25min,high_plus_25min,low_plus_25min,close_plus_25min,open_plus_30min,high_plus_30min,low_plus_30min,close_plus_30min,open_plus_35min,high_plus_35min,low_plus_35min,close_plus_35min,open_plus_40min,high_plus_40min,low_plus_40min,close_plus_40min
2025-06-13 03:35:00,1.15636,1.15645,1.15477,1.15481,843,51.07276067701938,-2324.569541728365,0.0011288295318854647,34.32760133600736,-0.0011231707029102367,-0.0002891396145431539,-0.0008340310883670828,0.64864,0.64874,0.64685,0.64692,695,72.35,72.43,72.05,72.18,420,1.36168,1.36279,1.36162,1.36279,454,142.945,142.952,142.793,142.853,925,1.15483,1.15509,1.15396,1.15461,1.15459,1.15595,1.15425,1.1555900000000001,1.1555900000000001,1.15626,1.15485,1.15625,1.15625,1.15625,1.15505,1.1559,1.1559,1.15602,1.15424,1.15425,1.15423,1.15546,1.15423,1.1551,1.1551,1.15511,1.1541299999999999,1.15466,1.15465,1.15485,1.15396,1.15407
2025-06-13 03:40:00,1.15483,1.15509,1.15396,1.15461,670,48.78042268919319,-2223.7730815514906,0.0011289270708949972,33.61353140818301,-0.0013781698412658194,-0.000506945659887687,-0.0008712241813781324,0.64696,0.64759,0.64696,0.64733,580,72.18,72.38,72.1,72.31,390,1.3627799999999999,1.36345,1.3624800000000001,1.36327,407,142.853,143.045,142.853,142.965,773,1.15459,1.15595,1.15425,1.1555900000000001,1.1555900000000001,1.15626,1.15485,1.15625,1.15625,1.15625,1.15505,1.1559,1.1559,1.15602,1.15424,1.15425,1.15423,1.15546,1.15423,1.1551,1.1551,1.15511,1.1541299999999999,1.15466,1.15465,1.15485,1.15396,1.15407,1.15407,1.15452,1.1539,1.15428
2025-06-13 03:45:00,1.15459,1.15595,1.15425,1.1555900000000001,610,45.439461397563434,-1872.1260227278956,0.0011765164816537504,40.25664301385764,-0.0011815897212761328,-0.0006418744721653762,-0.0005397152491107566,0.64731,0.64826,0.64728,0.64795,621,72.31,72.89,72.3,72.88,456,1.3633,1.36345,1.36228,1.36252,478,142.971,143.19,142.921,143.152,761,1.1555900000000001,1.15626,1.15485,1.15625,1.15625,1.15625,1.15505,1.1559,1.1559,1.15602,1.15424,1.15425,1.15423,1.15546,1.15423,1.1551,1.1551,1.15511,1.1541299999999999,1.15466,1.15465,1.15485,1.15396,1.15407,1.15407,1.15452,1.1539,1.15428,1.15428,1.155,1.154,1.15499
2025-06-13 03:50:00,1.1555900000000001,1.15626,1.15485,1.15625,627,43.510811648191435,-1254.0196397492296,0.001195973441515949,44.34810358670045,-0.00084661275443354,-0.0006828221286190089,-0.00016379062581453109,0.64795,0.648,0.64743,0.6477,555,72.87,73.8,72.79,73.72,750,1.36252,1.36319,1.36247,1.36296,553,143.156,143.175,142.923,142.991,892,1.15625,1.15625,1.15505,1.1559,1.1559,1.15602,1.15424,1.15425,1.15423,1.15546,1.15423,1.1551,1.1551,1.15511,1.1541299999999999,1.15466,1.15465,1.15485,1.15396,1.15407,1.15407,1.15452,1.1539,1.15428,1.15428,1.155,1.154,1.15499,1.15499,1.15516,1.1545,1.1546
2025-06-13 03:55:00,1.15625,1.15625,1.15505,1.1559,537,41.740928314064035,-1030.269639749271,0.001196308988056294,42.658042730504825,-0.0007106021248406424,-0.0006883781278633357,-2.2223996977306735e-05,0.6477,0.64802,0.64724,0.64772,576,73.72,74.37,73.47,73.56,986,1.36293,1.3633199999999999,1.36259,1.3627099999999999,463,142.987,143.089,142.965,143.043,747,1.1559,1.15602,1.15424,1.15425,1.15423,1.15546,1.15423,1.1551,1.1551,1.15511,1.1541299999999999,1.15466,1.15465,1.15485,1.15396,1.15407,1.15407,1.15452,1.1539,1.15428,1.15428,1.155,1.154,1.15499,1.15499,1.15516,1.1545,1.1546,1.1546,1.15462,1.15373,1.15425
2025-06-13 04:00:00,1.1559,1.15602,1.15424,1.15425,597,41.837529206602234,-1620.561774580688,0.0012449499057182792,35.66758713340859,-0.0010039750590573604,-0.0007514975141021407,-0.0002524775449552197,0.64772,0.64786,0.64563,0.6457,626,73.56,73.77,72.98,73.62,1113,1.3627099999999999,1.36379,1.36258,1.36374,494,143.042,143.101,142.919,143.02,741,1.15423,1.15546,1.15423,1.1551,1.1551,1.15511,1.1541299999999999,1.15466,1.15465,1.15485,1.15396,1.15407,1.15407,1.15452,1.1539,1.15428,1.15428,1.155,1.154,1.15499,1.15499,1.15516,1.1545,1.1546,1.1546,1.15462,1.15373,1.15425,1.15425,1.1547399999999999,1.15406,1.15449
2025-06-13 04:05:00,1.15423,1.15546,1.15423,1.1551,496,44.91696818464154,-1414.9032379952916,0.0012437040802417427,41.092567756261595,-0.0008819043912560165,-0.0007775788895329159,-0.00010432550172310062,0.6457,0.64737,0.64567,0.64724,531,73.63,73.87,73.62,73.84,822,1.36374,1.3639999999999999,1.3633,1.36345,430,143.025,143.152,142.943,143.152,634,1.1551,1.15511,1.1541299999999999,1.15466,1.15465,1.15485,1.15396,1.15407,1.15407,1.15452,1.1539,1.15428,1.15428,1.155,1.154,1.15499,1.15499,1.15516,1.1545,1.1546,1.1546,1.15462,1.15373,1.15425,1.15425,1.1547399999999999,1.15406,1.15449,1.15449,1.1553499999999999,1.15441,1.1553499999999999
2025-06-13 04:10:00,1.1551,1.15511,1.1541299999999999,1.15466,558,50.95664299169294,-1369.3522175870924,0.0012217287402216143,39.22468288873401,-0.000873966705064344,-0.0007968564526392015,-7.711025242514255e-05,0.64724,0.64724,0.64669,0.64717,422,73.84,74.33,73.69,74.11,722,1.36345,1.36396,1.36344,1.3635,408,143.15,143.152,143.034,143.034,784,1.15465,1.15485,1.15396,1.15407,1.15407,1.15452,1.1539,1.15428,1.15428,1.155,1.154,1.15499,1.15499,1.15516,1.1545,1.1546,1.1546,1.15462,1.15373,1.15425,1.15425,1.1547399999999999,1.15406,1.15449,1.15449,1.1553499999999999,1.15441,1.1553499999999999,1.1554,1.15547,1.15503,1.15506
2025-06-13 04:15:00,1.15465,1.15485,1.15396,1.15407,535,56.60533885307249,-1772.1050265760334,0.0011940846785364662,36.77913468741351,-0.0009613850056091611,-0.0008297621632331935,-0.00013162284237596756,0.64718,0.64743,0.64646,0.64657,429,74.11,74.13,73.76,73.83,640,1.3635,1.36401,1.36346,1.3639999999999999,259,143.034,143.125,143.001,143.065,568,1.15407,1.15452,1.1539,1.15428,1.15428,1.155,1.154,1.15499,1.15499,1.15516,1.1545,1.1546,1.1546,1.15462,1.15373,1.15425,1.15425,1.1547399999999999,1.15406,1.15449,1.15449,1.1553499999999999,1.15441,1.1553499999999999,1.1554,1.15547,1.15503,1.15506,1.15506,1.15517,1.15439,1.15485
2025-06-13 04:20:00,1.15407,1.15452,1.1539,1.15428,497,59.18475941556215,-1659.8792201244091,0.0011462442886584327,38.27345801997894,-0.000894912142463733,-0.0008427921590793014,-5.2119983384431605e-05,0.64656,0.64774,0.6464,0.64734,517,73.82,73.83,73.55,73.64,486,1.3639999999999999,1.3645100000000001,1.3636,1.3639999999999999,405,143.065,143.199,143.063,143.148,599,1.15428,1.155,1.154,1.15499,1.15499,1.15516,1.1545,1.1546,1.1546,1.15462,1.15373,1.15425,1.15425,1.1547399999999999,1.15406,1.15449,1.15449,1.1553499999999999,1.15441,1.1553499999999999,1.1554,1.15547,1.15503,1.15506,1.15506,1.15517,1.15439,1.15485,1.15484,1.1549800000000001,1.15467,1.15482
